"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"164","04/13/2019",33,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"165","04/14/2019",19,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"166","04/15/2019",4,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"167","04/16/2019",16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"168","04/17/2019",35,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"169","04/18/2019",47,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"170","04/19/2019",14,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"171","04/20/2019",4,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"172","04/21/2019",4,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"173","04/22/2019",12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"174","04/23/2019",25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"175","04/24/2019",33,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"176","04/25/2019",38,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"177","04/26/2019",26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"178","04/27/2019",21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"179","04/28/2019",31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"180","04/29/2019",45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"181","04/30/2019",54,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"182","05/01/2019",40,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"183","05/02/2019",39,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"184","05/03/2019",36,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"185","05/04/2019",28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"186","05/05/2019",13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"187","05/10/2019",20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"188","05/11/2019",24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"189","05/12/2019",9,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"190","05/13/2019",11,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"191","05/14/2019",20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"192","05/15/2019",31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"193","05/21/2019",29,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"194","05/22/2019",52,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"195","05/23/2019",54,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"196","05/24/2019",45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"197","05/25/2019",53,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"198","05/26/2019",48,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"199","05/27/2019",43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"200","05/28/2019",49,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"201","05/29/2019",46,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"202","05/30/2019",44,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"203","05/31/2019",28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"204","06/01/2019",25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"205","06/02/2019",50,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"206","06/03/2019",45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"207","06/04/2019",48,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"208","06/05/2019",60,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"209","06/06/2019",53,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"210","06/07/2019",12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"211","06/08/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"212","06/09/2019",3,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"213","06/10/2019",9,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"214","06/11/2019",21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"215","06/12/2019",23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"216","06/13/2019",18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"217","06/14/2019",18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"218","06/15/2019",37,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"219","06/16/2019",41,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"220","06/17/2019",36,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"221","06/18/2019",18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"222","06/19/2019",21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"223","06/20/2019",18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"224","06/21/2019",20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"225","06/22/2019",13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"226","06/23/2019",24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"227","06/24/2019",45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"228","06/25/2019",20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"229","06/26/2019",26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"230","06/27/2019",26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"231","06/28/2019",39,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"232","06/29/2019",43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"233","06/30/2019",43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"234","07/01/2019",34,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"235","07/02/2019",37,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"236","07/03/2019",27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"237","07/04/2019",35,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"238","07/05/2019",45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"239","07/06/2019",42,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"240","07/07/2019",45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"241","07/08/2019",35,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"242","07/09/2019",31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"243","07/10/2019",43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"244","07/11/2019",27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"245","07/12/2019",27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"246","07/13/2019",24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"247","07/14/2019",11,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"248","07/15/2019",25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"249","07/16/2019",45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"250","07/17/2019",48,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"251","07/18/2019",23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"252","07/19/2019",29,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"253","07/20/2019",27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"254","07/21/2019",34,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"255","07/22/2019",23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"256","07/23/2019",15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"257","07/24/2019",26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"258","07/25/2019",27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"259","07/26/2019",37,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"260","07/27/2019",51,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"261","07/28/2019",44,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
